"city";"lon";"lat";"meanPop"
"LONDON";-0.105;51.517;3211156.39172212
"BIRMINGHAM";-1.86;52.485;1094962.80539196
"LIVERPOOL";-2.942;53.417;760523.47920128
"MANCHESTER";-2.25;53.482;675451.84722925
"LEEDS";-1.538;53.805;502557.61629415
"SHEFFIELD";-1.467;53.383;500462.310082998
"BRISTOL";-2.57;51.477;434921.420542962
"NOTTINGHAM";-1.16;52.967;304565.508087386
"HULL";-0.34;53.75;293921.797712249
"BRADFORD";-1.75;53.788;287743.959123035
"NEWCASTLE";-1.602;54.973;278252.267935101
"LEICESTER";-1.137;52.635;276949.765299086
"COVENTRY";-1.508;52.403;271205.905246801
"STOKE";-1.465;52.403;268987.99588958
"CARDIFF";-3.175;51.482;246351.84214351
"PORTSMOUTH";-1.072;50.808;223343.487360512
"PLYMOUTH";-4.147;50.388;205373.303411883
"SOUTHAMPTON";-1.397;50.918;186485.564606216
"SUNDERLAND";-1.385;54.91;182011.847111883
"SALFORD";-2.295;53.482;165965.976078793
"BOLTON";-2.432;53.572;162702.685924863
"SWANSEA";-3.958;51.632;160583.775568739
"BRIGHTON";-0.133;50.842;155814.676942962
"WOLVERHAMPTON";-2.127;52.583;153577.949233455
"SOUTHEND";0.703;51.545;151550.279943181
"MIDDLESBOROUGH";-1.205;54.558;148161.659661426
"BLACKPOOL";-3.042;53.82;147797.477691773
"BOURNEMOUTH";-1.88;50.722;141521.393304936
"STOCKPORT";-2.158;53.41;140277.714227422
"BIRKENHEAD";-3.045;53.388;139948.006394333
"DERBY";-1.473;52.915;136014.665996892
"HUDDERSFIELD";-1.782;53.645;127401.360158867
"NORWICH";1.302;52.628;117797.765354479
"OLDHAM";-2.113;53.537;117394.692632176
"READING";-0.972;51.455;117177.179239854
"PRESTON";-2.707;53.76;115191.897809872
"WALSALL";-1.978;52.583;114099.079958501
"GATESHEAD";-1.618;54.938;109952.393702011
"ST.HELENS";-2.747;53.453;108479.078742614
"IPSWICH";1.157;52.057;108385.55583075
